Store_Name,Store_Type,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,X,Y,ObjectId,unique_ID,current_partner,potential_partner
Pick Up Mart,NA,17753 State Highway 37,NA,Karnak,IL,62956,2610,PULASKI,-89.023003,37.286102,-89.023003,37.286102,155,1775362956,No,NA
Dollar General 20672,Dollar Store,800 E Washington St,NA,Karnak,IL,62956,2504,PULASKI,-88.965813,37.293491,-88.965813,37.293491,156,80062956,No,Unqualified
Dollar General 10828,Dollar Store,327 Irving Ave,NA,Woodstock,IL,60098,3522,MCHENRY,-88.438309,42.316235,-88.438309,42.316235,326,32760098,No,Unqualified
Community Farm Shops LLC,NA,21804 W Grant Hwy,NA,Marengo,IL,60152,2943,MCHENRY,-88.622772,42.249451,-88.622772,42.249451,327,2180460152,No,NA
Casey's 3993,Convenience Store,200 E Grant Hwy,NA,Marengo,IL,60152,3340,MCHENRY,-88.606705,42.24818,-88.606705,42.24818,328,20060152,No,Unqualified
Expresslane 60,Gas Station,308 E Grant Hwy,NA,Marengo,IL,60152,3342,MCHENRY,-88.605469,42.247917,-88.605469,42.247917,329,30860152,No,Unqualified
Circle K 6892,Gas Station,600 N State St,NA,Marengo,IL,60152,2256,MCHENRY,-88.608528,42.255207,-88.608528,42.255207,331,60060152,No,Unqualified
Carroll County Locker Company,NA,122 E Carroll St,NA,Lanark,IL,61046,1144,CARROLL,-89.831963,42.10273,-89.831963,42.10273,380,12261046,No,NA
Walgreens 9431,Convenience Store,376 N Sugar Grove Pkwy,NA,Sugar Grove,IL,60554,NA,KANE,-88.44381,41.772457,-88.44381,41.772457,627,37660554,No,Unqualified
Graham C-Stores Co - Sugar Grove 206,Gas Station,375 N Sugar Grove Pkwy,NA,Sugar Grove,IL,60554,8115,KANE,-88.441635,41.772758,-88.441635,41.772758,628,37560554,No,Unqualified
ALDI 40047,Large Grocery Chain,11 W Park Ave,NA,Sugar Grove,IL,60554,2241,KANE,-88.447418,41.774837,-88.447418,41.774837,629,1160554,No,Potential Partner
Jewel Food Store 3374,Large Grocery Chain,465 N ROUTE 47,NA,SUGAR GROVE,IL,60554,NA,KANE,-88.442429,41.774929,-88.442429,41.774929,630,46560554,No,Potential Partner
Casey's General Store 1926,Convenience Store,512 W 10th St,NA,Metropolis,IL,62960,1562,MASSAC,-88.73333,37.158405,-88.73333,37.158405,678,51262960,No,Unqualified
DOLLAR GENERAL  1106,Dollar Store,1103 E 8th St,NA,Metropolis,IL,62960,2703,MASSAC,-88.718117,37.149055,-88.718117,37.149055,679,110362960,No,Unqualified
DOLLARTREE 7962,Dollar Store,1624 E 5th St,NA,Metropolis,IL,62960,2720,MASSAC,-88.711739,37.153893,-88.711739,37.153893,680,162462960,No,Unqualified
Metropolis 66,NA,1117 E 5th St,NA,Metropolis,IL,62960,2313,MASSAC,-88.717201,37.145451,-88.717201,37.145451,681,111762960,No,NA
Dollar General 15187,Dollar Store,1502 10th St W,NA,Metropolis,IL,62960,NA,MASSAC,-88.745728,37.168217,-88.745728,37.168217,682,150262960,No,Unqualified
Speedymart,NA,1201 Coburn St,NA,Metropolis,IL,62960,1348,MASSAC,-88.720917,37.154869,-88.720917,37.154869,683,120162960,No,NA
Creal Springs Mini Mart,Mini Mart,100 E Keely St,NA,Creal Springs,IL,62922,2108,WILLIAMSON,-88.836624,37.619831,-88.836624,37.619831,710,10062922,No,Potential Partner
Dollar General 15635,Dollar Store,501 W Blue Ave,NA,Creal Springs,IL,62922,NA,WILLIAMSON,-88.841576,37.619427,-88.841576,37.619427,711,50162922,No,Unqualified
Expresslane 80,Gas Station,508 N Pennsylvania St,NA,Sublette,IL,61367,9479,LEE,-89.235382,41.64724,-89.235382,41.64724,722,50861367,No,Unqualified
"Prairiesburg Fields, Inc.",NA,401 N Pennsylvania St,NA,Sublette,IL,61367,9400,LEE,-89.232887,41.646404,-89.232887,41.646404,723,40161367,No,NA
Sublette General Store Llc,Independent General Store,200 N Reeve St,NA,Sublette,IL,61367,9470,LEE,-89.230812,41.644657,-89.230812,41.644657,724,20061367,No,Unqualified
"Nafisah Myanmar Grocery, Inc",Grocery Store,6350 N Claremont Ave,NA,Chicago,IL,60659,2002,COOK,-87.688736,41.997356,-87.688736,41.997356,829,635060659,No,Potential Partner
Hello Cherry Asian Grocery,Grocery Store,6354 N Oakley Ave,NA,Chicago,IL,60659,2006,COOK,-87.68766,41.997509,-87.68766,41.997509,830,635460659,No,Potential Partner
Malik Food Mart,Food Market,2000 W Devon Ave,NA,Chicago,IL,60659,2104,COOK,-87.680527,41.998135,-87.680527,41.998135,831,200060659,No,Potential Partner
Aleteia Inc,NA,2750 W Devon Ave,NA,Chicago,IL,60659,1711,COOK,-87.699234,41.997768,-87.699234,41.997768,832,275060659,No,NA
Chicago Best Naan Inc,NA,2754 W Devon Ave,NA,Chicago,IL,60659,1711,COOK,-87.69944,41.997826,-87.69944,41.997826,833,275460659,No,NA
