Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,X,Y,Partner Category,Type,Hours,Day(s) of the Week,Dates,Link,Notes
61st Street Farmers Market,6100 S Blackstone Ave,NA,Chicago,IL,60637,2912,COOK,-87.590324,41.784107,-87.590324,41.784107,Farm Direct,Farmers Market,9:00 am - 2:00 pm,Saturdays,"Nov 4, 11, 18 | Dec 2, 9, 16 |  Jan 13 |  Feb 10 |  Mar 9 | Apr 13",https://www.experimentalstation.org/market,
Carbondale Community Farmers Market,1237 E. Main Street,(INSIDE University Mall),Carbondale,IL,62902,,,-89.1913203,37.72914305,-89.1913203,37.72914305,Farm Direct,Farmers Market,10:00 am - 1:00 pm,Saturdays,Dec 2 - March,https://sites.google.com/fwsoil.org/carbondalemarket,
Batavia Indoor Market,"131 Flinn Street, Suite C",Grainology Brewstillery,Batavia,IL,60510,2666,KANE,-88.30929009,41.84739923,-88.30929009,41.84739923,Farm Direct,Farmers Market,9:00 am - 12:00 pm,Saturdays,Every Saturday November through May,https://downtownbatavia.com/event/farmers-market-breakfast-sliders/2023-05-20/,
Champaign-Urbana Winter Farmers Market,201 Lincoln Sq,Lincoln Square Mall,Urbana,IL,61801,3295,CHAMPAIGN,-88.207184,40.111271,-88.207184,40.111271,Farm Direct,Farmers Market,8:00 am - 12:00 pm,Saturdays,"Nov 4, 2023 - Apr 27, 2024 (*no market Dec 23 or Dec 30)",https://www.facebook.com/CUFarmersMarkets,
Downtown Bloomington Farmers' Market,101 S Madison St,NA,Bloomington,IL,61701,3926,MCLEAN,-88.99546076,40.47794546,-88.99546076,40.47794546,Farm Direct,Farmers Market,9:00 am - 12:00 pm,3rd Saturday of the month,"Nov 18, Dec 23, Jan 20, Feb 17, Mar 16, Apr 20",https://www.downtownbloomington.org/farmers-market,
Farm On Ogden,3555 W Ogden Ave,NA,Chicago,IL,60623,2583,COOK,-87.714355,41.854328,-87.714355,41.854328,Farm Direct,Farmers Market,11:00 am - 5:00 pm,Wednesday - Saturday,Year-round,https://www.chicagobotanic.org/urbanagriculture,
Fresh Moves Mobile Market,Mobile Market,"Urban Growers Collective, Chicago",,,,,,-87.65634422,41.83102806,-87.65634422,41.83102806,Farm Direct,Mobile Market,,Monday - Friday,,https://www.urbangrowerscollective.org/fresh-moves-mobile-market,See website for detailed times and locations
Forty Acres Fresh Market,Delivery and Subscription service in Chicago,,,,,,,-87.76801852,41.89549609,-87.76801852,41.89549609,Farm Direct,CSA / Delivery,,,,https://www.fortyacresfreshmarket.com/markets,"Deliveries made on Sundays, Mondays, Wednesdays, and Fridays dependent on zip code"
Garfield Park Neighborhood Market,135 North Kedzie,,Chicago,IL,60612,NA,COOK,-87.706161,41.883877,-87.706161,41.883877,Farm Direct,Farmers Market,10:00 am - 2:00 pm,2nd Saturday of the month,Dec 9 | Feb 10 | Apr 13 | May 11,https://www.gpcommunitycouncil.org/programs/neighborhood-market,"Pop-Up store: 4316 W Madison, Nov 6 - Dec 22 "
Green City Market - Lincoln Park,1817 N Clark St,NA,Chicago,IL,60614,5886,COOK,-87.633888,41.914986,-87.633888,41.914986,Farm Direct,Farmers Market,7:00 am - 1:00 pm,Saturdays,April - November,https://www.greencitymarket.org/,
